,City,Median Income,Population,Male Pop (%),White Pop (%),Black Pop (%),Asian Pop (%),Hispanic Pop (%),Employed Pop (%),Median Age,Age <18 (%)
Cherry Hill,8,,,,,,,,,,
Wayne,6,,,,,,,,,,
Paramus,6,,,,,,,,,,
Fort Lee,5,,,,,,,,,,
Jersey City,5,,,,,,,,,,
Edison,5,,,,,,,,,,
Newark,4,,,,,,,,,,
Atlantic City,4,,,,,,,,,,
Lawrence,4,,,,,,,,,,
Woodbridge,4,,,,,,,,,,
Freehold,4,,,,,,,,,,
Mount Laurel,4,,,,,,,,,,
Rockaway,3,,,,,,,,,,
Phillipsburg,3,,,,,,,,,,
Hoboken,3,,,,,,,,,,
Hamilton,3,,,,,,,,,,
Piscataway,3,,,,,,,,,,
Union,3,,,,,,,,,,
Bridgewater,3,,,,,,,,,,
Cranbury,3,,,,,,,,,,
Franklin,3,,,,,,,,,,
Toms River,3,,,,,,,,,,
South Amboy,2,,,,,,,,,,
East Rutherford,2,,,,,,,,,,
Hackensack,2,,,,,,,,,,
Ramsey,2,,,,,,,,,,
New Brunswick,2,,,,,,,,,,
Cranford,2,,,,,,,,,,
Morristown,2,,,,,,,,,,
North Bergen,2,,,,,,,,,,
North Brunswick,2,,,,,,,,,,
Princeton,2,,,,,,,,,,
Galloway,2,,,,,,,,,,
Penns Grove,2,,,,,,,,,,
Hackettstown,2,,,,,,,,,,
Washington,2,,,,,,,,,,
Ridgewood,2,,,,,,,,,,
Millburn,2,,,,,,,,,,
Winslow,2,,,,,,,,,,
Matawan,2,,,,,,,,,,
Mantua,2,,,,,,,,,,
East Hanover,2,,,,,,,,,,
Edgewater,2,,,,,,,,,,
Closter,2,,,,,,,,,,
Montclair,2,,,,,,,,,,
Moorestown,2,,,,,,,,,,
Secaucus,2,,,,,,,,,,
Clifton,2,,,,,,,,,,
Middletown,2,,,,,,,,,,
Denville,2,,,,,,,,,,
Branchburg,2,,,,,,,,,,
Delran,1,,,,,,,,,,
Westfield,1,,,,,,,,,,
Watchung,1,,,,,,,,,,
Barnegat,1,,,,,,,,,,
Deptford,1,,,,,,,,,,
Mahwah,1,,,,,,,,,,
New Providence,1,,,,,,,,,,
Hasbrouck Heights,1,,,,,,,,,,
Bernards,1,,,,,,,,,,
Haddonfield,1,,,,,,,,,,
Manalapan,1,,,,,,,,,,
Gloucester,1,,,,,,,,,,
Absecon,1,,,,,,,,,,
Ocean,1,,,,,,,,,,
Hammonton,1,,,,,,,,,,
Little Ferry,1,,,,,,,,,,
Fairfield,1,,,,,,,,,,
Bayonne,1,,,,,,,,,,
Allendale,1,,,,,,,,,,
Bordentown,1,,,,,,,,,,
Glen Rock,1,,,,,,,,,,
Bedminster,1,,,,,,,,,,
Vineland,1,,,,,,,,,,
Elizabeth,1,,,,,,,,,,
Stafford,1,,,,,,,,,,
Florham Park,1,,,,,,,,,,
Somerville,1,,,,,,,,,,
Lakewood,1,,,,,,,,,,
Hillsdale,1,,,,,,,,,,
Lacey,1,,,,,,,,,,
South Brunswick,1,,,,,,,,,,
Vernon,1,,,,,,,,,,
Morris Plains,1,,,,,,,,,,
Madison,1,,,,,,,,,,
Long Hill,1,,,,,,,,,,
Red Bank,1,,,,,,,,,,
Eatontown,1,,,,,,,,,,
Hillsborough,1,,,,,,,,,,
Summit,1,,,,,,,,,,
Sea Girt,1,,,,,,,,,,
Warren,1,,,,,,,,,,
Montvale,1,,,,,,,,,,
Old Bridge,1,,,,,,,,,,
Kenilworth,1,,,,,,,,,,
Camden,1,,,,,,,,,,
Tinton Falls,1,,,,,,,,,,
Hanover,1,,,,,,,,,,
Franklin Lakes,1,,,,,,,,,,
Evesham,1,,,,,,,,,,
Clementon,1,,,,,,,,,,
Riverside,1,,,,,,,,,,
West Caldwell,1,,,,,,,,,,
Park Ridge,1,,,,,,,,,,
Pompton Lakes,1,,,,,,,,,,
West New York,1,,,,,,,,,,
Medford,1,,,,,,,,,,
Chester,1,,,,,,,,,,
Green Brook,1,,,,,,,,,,
Voorhees,1,,,,,,,,,,
Clark,1,,,,,,,,,,
Livingston,1,,,,,,,,,,
Bernardsville,1,,,,,,,,,,
Burlington,1,,,,,,,,,,
Middle,1,,,,,,,,,,
Ocean City,1,,,,,,,,,,
Shrewsbury,1,,,,,,,,,,
Neptune,1,,,,,,,,,,
Trenton,1,,,,,,,,,,
Ridgefield Park,1,,,,,,,,,,
Nutley,1,,,,,,,,,,
South Plainfield,1,,,,,,,,,,
Chatham,1,,,,,,,,,,
Glen Ridge,1,,,,,,,,,,
Old Tappan,1,,,,,,,,,,
Asbury Park,1,,,,,,,,,,
Woodcliff Lake,1,,,,,,,,,,
Oakland,1,,,,,,,,,,
Wyckoff,1,,,,,,,,,,
Linden,1,,,,,,,,,,
Rutherford,1,,,,,,,,,,
Brick,1,,,,,,,,,,
Margate City,1,,,,,,,,,,
Fair Lawn,1,,,,,,,,,,
Millville,1,,,,,,,,,,
Belmar,1,,,,,,,,,,
East Brunswick,1,,,,,,,,,,
Spring Lake,1,,,,,,,,,,
Northvale,1,,,,,,,,,,
Boonton,1,,,,,,,,,,
Englewood,1,,,,,,,,,,
Howell,1,,,,,,,,,,
Westwood,1,,,,,,,,,,
South Orange Village,1,,,,,,,,,,
Riverdale,1,,,,,,,,,,
Midland Park,1,,,,,,,,,,
Roseland,1,,,,,,,,,,
Somers Point,1,,,,,,,,,,
Pennington,1,,,,,,,,,,
Flemington,1,,,,,,,,,,
Milltown,1,,,,,,,,,,
